GRPRatingsDate,GRP,
17-Jun-2007 (25),243.6,
24-Jun-2007 (26),263.19,
01-Jul-2007 (27),269.89,
08-Jul-2007 (28),252.88,
15-Jul-2007 (29),303.46,
22-Jul-2007 (30),286.29,
29-Jul-2007 (31),292.28,
05-Aug-2007 (32),288.72,
12-Aug-2007 (33),285.7,
19-Aug-2007 (34),286.01,
26-Aug-2007 (35),308.59,
02-Sep-2007 (36),320.57,
09-Sep-2007 (37),312.67,
16-Sep-2007 (38),278.58,
23-Sep-2007 (39),303.06,
30-Sep-2007 (40),327.22,
07-Oct-2007 (41),315.14,
14-Oct-2007 (42),254.39,
21-Oct-2007 (43),258.73,
28-Oct-2007 (44),272.35,
04-Nov-2007 (45),234.26,
11-Nov-2007 (46),259.35,
18-Nov-2007 (47),272.67,
25-Nov-2007 (48),269.03,
02-Dec-2007 (49),291.72,
09-Dec-2007 (50),275.29,
16-Dec-2007 (51),276.38,
23-Dec-2007 (52),274.68,
30-Dec-2007 (1),273.7,
06-Jan-2008 (2),271.84,
13-Jan-2008 (3),267.63,
20-Jan-2008 (4),260.45,
27-Jan-2008 (5),301.67,
03-Feb-2008 (6),281.6,
10-Feb-2008 (7),286.82,
17-Feb-2008 (8),292.87,
24-Feb-2008 (9),289.84,
02-Mar-2008 (10),237.74,
09-Mar-2008 (11),268.69,
16-Mar-2008 (12),261.46,
23-Mar-2008 (13),240.68,
30-Mar-2008 (14),231.89,
06-Apr-2008 (15),212.18,
13-Apr-2008 (16),218.16,
20-Apr-2008 (17),219.96,
27-Apr-2008 (18),210.24,
04-May-2008 (19),210.17,
11-May-2008 (20),228.25,
18-May-2008 (21),227.32,
25-May-2008 (22),218.16,
01-Jun-2008 (23),228.92,
08-Jun-2008 (24),231.79,
15-Jun-2008 (25),231.19,
22-Jun-2008 (26),214.32,
29-Jun-2008 (27),233.76,
06-Jul-2008 (28),231.12,
13-Jul-2008 (29),224.72,
20-Jul-2008 (30),216.19,
27-Jul-2008 (31),216.75,
03-Aug-2008 (32),211.68,
10-Aug-2008 (33),209.41,
17-Aug-2008 (34),219.99,
24-Aug-2008 (35),205.17,
31-Aug-2008 (36),195.25,
07-Sep-2008 (37),212.45,
14-Sep-2008 (38),232.21,
21-Sep-2008 (39),236.31,
28-Sep-2008 (40),219.91,
05-Oct-2008 (41),193.84,
12-Oct-2008 (42),201.3,
19-Oct-2008 (43),198.4,
26-Oct-2008 (44),170.74,
02-Nov-2008 (45),206.61,
09-Nov-2008 (46),188.68,
16-Nov-2008 (47),197.64,
23-Nov-2008 (48),193.16,
30-Nov-2008 (49),184.74,
07-Dec-2008 (50),188.88,
14-Dec-2008 (51),224.85,
21-Dec-2008 (52),186.91,
28-Dec-2008 (1),192.65,
04-Jan-2009 (2),200.88,
11-Jan-2009 (3),198.88,
18-Jan-2009 (4),227.61,
25-Jan-2009 (5),214.15,
01-Feb-2009 (6),191.91,
08-Feb-2009 (7),208.17,
15-Feb-2009 (8),204.2,
22-Feb-2009 (9),200.61,
01-Mar-2009 (10),208.56,
08-Mar-2009 (11),191.74,
15-Mar-2009 (12),222.07,
