Actual GRP,GRPRatingsDate,Predicted GRP,Std Err Pred GRP,Residual GRP,Upper CL (0.95) GRP,Lower CL (0.95) GRP
278.58,16/9/07,330.968776,18.51565928,-52.388776,367.2588013,294.6787507
303.06,23/9/07,294.9235709,18.51565928,8.136429094,331.2135963,258.6335456
327.22,30/9/07,295.1224927,18.51565928,32.09750735,331.412518,258.8324673
315.14,7/10/07,355.892784,18.51565928,-40.75278404,392.1828094,319.6027587
254.39,14/10/07,301.6635832,18.51565928,-47.27358319,337.9536085,265.3735579
258.73,21/10/07,287.3258532,18.51565928,-28.59585324,323.6158786,251.0358279
272.35,28/10/07,261.0025773,18.51565928,11.34742269,297.2926027,224.712552
234.26,4/11/07,259.8338904,18.51565928,-25.57389041,296.1239158,223.5438651
259.35,11/11/07,229.8232555,18.51565928,29.52674446,266.1132809,193.5332302
272.67,18/11/07,285.1516314,18.51565928,-12.48163143,321.4416568,248.8616061
269.03,25/11/07,268.651026,18.51565928,0.378974027,304.9410513,232.3610006
291.72,2/12/07,265.9483307,18.51565928,25.7716693,302.2383561,229.6583054
275.29,9/12/07,275.0992628,18.51565928,0.190737183,311.3892882,238.8092375
276.38,16/12/07,284.5871746,18.51565928,-8.207174556,320.8771999,248.2971492
274.68,23/12/07,285.0646985,18.51565928,-10.38469853,321.3547239,248.7746732
273.7,30/12/07,296.2924421,18.51565928,-22.59244209,332.5824674,260.0024167
271.84,6/1/08,238.5042861,18.51565928,33.33571394,274.7943114,202.2142607
267.63,13/1/08,269.3515754,18.51565928,-1.721575354,305.6416007,233.06155
260.45,20/1/08,258.1903492,18.51565928,2.259650791,294.4803746,221.9003239
301.67,27/1/08,246.106563,18.51565928,55.56343704,282.3965883,209.8165376
281.6,3/2/08,298.0519866,18.51565928,-16.4519866,334.342012,261.7619613
286.82,10/2/08,292.0041434,18.51565928,-5.184143444,328.2941688,255.7141181
292.87,17/2/08,305.9731073,18.51565928,-13.10310729,342.2631326,269.683082
289.84,24/2/08,295.4640223,18.51565928,-5.624022271,331.7540476,259.1739969
237.74,2/3/08,279.594776,18.51565928,-41.854776,315.8848014,243.3047507
268.69,9/3/08,254.0855477,18.51565928,14.60445231,290.375573,217.7955224
261.46,16/3/08,272.3571166,18.51565928,-10.89711658,308.6471419,236.0670912
240.68,23/3/08,260.4695341,18.51565928,-19.78953406,296.7595594,224.1795087
231.89,30/3/08,222.3298081,18.51565928,9.560191906,258.6198334,186.0397828
212.18,6/4/08,230.6423694,18.51565928,-18.46236939,266.9323947,194.352344
218.16,13/4/08,207.972764,18.51565928,10.18723596,244.2627894,171.6827387
219.96,20/4/08,219.6579896,18.51565928,0.302010447,255.9480149,183.3679642
210.24,27/4/08,212.187779,18.51565928,-1.947778948,248.4778043,175.8977536
210.17,4/5/08,226.3089707,18.51565928,-16.13897065,262.598996,190.0189453
228.25,11/5/08,214.7707799,18.51565928,13.47922009,251.0608053,178.4807546
227.32,18/5/08,227.0105152,18.51565928,0.309484814,263.3005405,190.7204898
218.16,25/5/08,196.562332,18.51565928,21.59766797,232.8523574,160.2723067
228.92,1/6/08,228.6977662,18.51565928,0.222233782,264.9877916,192.4077409
231.79,8/6/08,220.491778,18.51565928,11.29822199,256.7818034,184.2017527
231.19,15/6/08,235.2412525,18.51565928,-4.051252465,271.5312778,198.9512271
214.32,22/6/08,204.4397182,18.51565928,9.880281791,240.7297436,168.1496929
233.76,29/6/08,208.9776931,18.51565928,24.78230692,245.2677184,172.6876677
231.12,6/7/08,223.5640096,18.51565928,7.555990399,259.854035,187.2739843
224.72,13/7/08,223.6189329,18.51565928,1.101067134,259.9089582,187.3289075
216.19,20/7/08,224.6431164,18.51565928,-8.453116439,260.9331418,188.3530911
216.75,27/7/08,228.2219499,18.51565928,-11.4719499,264.5119753,191.9319246
211.68,3/8/08,225.2554622,18.51565928,-13.57546223,261.5454876,188.9654369
209.41,10/8/08,213.1495202,18.51565928,-3.73952023,249.4395456,176.8594949
219.99,17/8/08,188.0520524,18.51565928,31.93794761,224.3420777,151.762027
205.17,24/8/08,220.7447716,18.51565928,-15.5747716,257.034797,184.4547463
195.25,31/8/08,197.3711863,18.51565928,-2.121186313,233.6612117,161.081161
212.45,7/9/08,206.4213526,18.51565928,6.028647373,242.711378,170.1313273
232.21,14/9/08,182.6724821,18.51565928,49.53751786,218.9625075,146.3824568
236.31,21/9/08,215.6750474,18.51565928,20.63495256,251.9650728,179.3850221
219.91,28/9/08,219.3069616,18.51565928,0.603038406,255.5969869,183.0169363
193.84,5/10/08,222.9027781,18.51565928,-29.0627781,259.1928035,186.6127528
201.3,12/10/08,199.427291,18.51565928,1.872709,235.7173164,163.1372657
198.4,19/10/08,212.6805003,18.51565928,-14.28050032,248.9705257,176.390475
170.74,26/10/08,195.0849154,18.51565928,-24.34491537,231.3749407,158.79489
