Actual GRP,GRPRatingsDate,Predicted GRP,Std Err Pred GRP,Residual GRP,Upper CL (0.95) GRP,Lower CL (0.95) GRP
263.19,24/6/07,243.6,19.32981142,19.59,281.4857342,205.7142658
269.89,1/7/07,253.9866443,19.32981142,15.90335571,291.8723785,216.1009101
252.88,8/7/07,260.3025773,19.32981142,-7.422577308,298.1883115,222.4168431
303.46,15/7/07,257.7449793,19.32981142,45.71502067,295.6307135,219.8592451
286.29,22/7/07,272.4276649,19.32981142,13.86233515,310.3133991,234.5419307
292.28,29/7/07,276.7281203,19.32981142,15.55187967,314.6138545,238.8423861
288.72,5/8/07,281.4710561,19.32981142,7.248943895,319.3567903,243.5853219
285.7,12/8/07,283.6633494,19.32981142,2.036650651,321.5490836,245.7776151
286.01,19/8/07,284.2767648,19.32981142,1.733235201,322.162499,246.3910306
308.59,26/8/07,284.7977438,19.32981142,23.79225623,322.683478,246.9120096
320.57,2/9/07,291.9422007,19.32981142,28.62779929,329.8279349,254.0564665
312.67,9/9/07,300.5345372,19.32981142,12.13546285,338.4202714,262.6488029
278.58,16/9/07,304.1760061,19.32981142,-25.59600608,342.0617403,266.2902719
303.06,23/9/07,296.4963464,19.32981142,6.563653589,334.3820806,258.6106122
327.22,30/9/07,298.4655503,19.32981142,28.75444972,336.3512845,260.5798161
315.14,7/10/07,307.0921166,19.32981142,8.047883431,344.9778508,269.2063824
254.39,14/10/07,309.5064816,19.32981142,-55.1164816,347.3922158,271.6207474
258.73,21/10/07,292.9715371,19.32981142,-34.24153712,330.8572713,255.0858029
272.35,28/10/07,282.699076,19.32981142,-10.34907598,320.5848102,244.8133418
234.26,4/11/07,279.5943532,19.32981142,-45.33435319,317.4800874,241.708619
259.35,11/11/07,265.9940472,19.32981142,-6.644047232,303.8797814,228.108313
272.67,18/11/07,264.0008331,19.32981142,8.669166938,301.8865673,226.1150989
269.03,25/11/07,266.6015831,19.32981142,2.428416856,304.4873174,228.7158489
291.72,2/12/07,267.3301082,19.32981142,24.3898918,305.2158424,229.444374
275.29,9/12/07,274.6470757,19.32981142,0.64292426,312.53281,236.7613415
276.38,16/12/07,274.839953,19.32981142,1.540046982,312.7256872,236.9542188
274.68,23/12/07,275.3019671,19.32981142,-0.621967113,313.1877013,237.4162329
273.7,30/12/07,275.115377,19.32981142,-1.415376979,313.0011112,237.2296428
271.84,6/1/08,274.6907639,19.32981142,-2.850763885,312.5764981,236.8050297
267.63,13/1/08,273.8355347,19.32981142,-6.20553472,311.7212689,235.9498005
260.45,20/1/08,271.9738743,19.32981142,-11.5238743,309.8596085,234.0881401
301.67,27/1/08,268.516712,19.32981142,33.15328799,306.4024462,230.6309778
