GRPRatingsDate,GRP
2007-06-17,243.6
2007-06-24,263.19
2007-07-01,269.89
2007-07-08,252.88
2007-07-15,303.46
2007-07-22,286.29
2007-07-29,292.28
2007-08-05,288.72
2007-08-12,285.7
2007-08-19,286.01
2007-08-26,308.59
2007-09-02,320.57
2007-09-09,312.67
2007-09-16,278.58
2007-09-23,303.06
2007-09-30,327.22
2007-10-07,315.14
2007-10-14,254.39
2007-10-21,258.73
2007-10-28,272.35
2007-11-04,234.26
2007-11-11,259.35
2007-11-18,272.67
2007-11-25,269.03
2007-12-02,291.72
2007-12-09,275.29
2007-12-16,276.38
2007-12-23,274.68
2007-12-30,273.7
2008-01-06,271.84
2008-01-13,267.63
2008-01-20,260.45
2008-01-27,301.67
2008-02-03,281.6
2008-02-10,286.82
2008-02-17,292.87
2008-02-24,289.84
2008-03-02,237.74
2008-03-09,268.69
2008-03-16,261.46
2008-03-23,240.68
2008-03-30,231.89
2008-04-06,212.18
2008-04-13,218.16
2008-04-20,219.96
2008-04-27,210.24
2008-05-04,210.17
2008-05-11,228.25
2008-05-18,227.32
2008-05-25,218.16
2008-06-01,228.92
2008-06-08,231.79
2008-06-15,231.19
2008-06-22,214.32
2008-06-29,233.76
2008-07-06,231.12
2008-07-13,224.72
2008-07-20,216.19
2008-07-27,216.75
2008-08-03,211.68
2008-08-10,209.41
2008-08-17,219.99
2008-08-24,205.17
2008-08-31,195.25
2008-09-07,212.45
2008-09-14,232.21
2008-09-21,236.31
2008-09-28,219.91
2008-10-05,193.84
2008-10-12,201.3
2008-10-19,198.4
2008-10-26,170.74
